,package,Year,CRAN,Active,downloads-month,Accelerometry,GLS,Argos,Radio telemetry,Video/image,VMS,Acoustic telemetry,TDR,GPS,Several sources,Pre-processing,Post-processing,Visualization,Description,PathReconstruction,BehavioralPatternIdentification,TrajectorySimulation,SpaceUse,Others,Filtering,Managing,Population,Interaction,Simulation,Environmental-estimation
1,acc,2015,Yes,No,284,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0
2,accelerometry,2013,Yes,No,506.5833333333,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
3,adehabitatHR,2010,Yes,Yes,1923.1666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,adehabitatHS,2010,Yes,Yes,738.8333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,adehabitatLT,2010,Yes,Yes,2489.6666666667,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,0
6,amt,2016,Yes,Yes,56.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0
7,animalTrack,2013,Yes,No,245.25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
8,anipaths,2017,Yes,Yes,242.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,argosfilter,2007,Yes,No,360.4166666667,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
10,argosTrack,2014,No,Yes,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0
11,BayesianAnimalTracker,2014,Yes,No,225.3333333333,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
12,BBMM,2010,Yes,No,319.4166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13,bcpa,2013,Yes,No,281.0833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14,bsam,2016,Yes,Yes,329.8333333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
15,caribou,2011,Yes,No,176.25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
16,crawl,2008,Yes,No,435.4166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
