"","Not enough","Basic","Good","Excellent","Don't remember","Good_Exc","Basic_Good_Exc","Complete_Doc","Never","Rarely","Sometimes","Often","Sometimes_More","Often_More","Use_Counts","Not relevant","Slightly relevant","Important","Essential","Slightly_More","Important_More","Key"
"acc",1,2,3,0,6,50,83.3333333333333,6,213,4,6,2,66.6666666666667,16.6666666666667,12,3,7,1,1,41.6666666666667,16.6666666666667,8.33333333333333
"accelerometry",0,2,1,0,4,33.3333333333333,100,3,218,4,2,1,42.8571428571429,14.2857142857143,7,0,3,3,1,57.1428571428571,57.1428571428571,14.2857142857143
"adehabitatHR",2,26,76,62,18,83.1325301204819,98.7951807228916,166,41,30,62,92,83.695652173913,50,184,7,28,74,75,84.7826086956522,80.9782608695652,40.7608695652174
"adehabitatHS",0,14,52,35,20,86.1386138613861,100,101,104,38,44,39,68.5950413223141,32.2314049586777,121,7,41,53,20,66.1157024793389,60.3305785123967,16.5289256198347
"adehabitatLT",2,14,66,58,17,88.5714285714286,98.5714285714286,140,68,21,58,78,86.6242038216561,49.6815286624204,157,2,37,63,55,76.4331210191083,75.1592356687898,35.031847133758
"amt",3,8,11,2,8,54.1666666666667,87.5,24,193,8,17,7,75,21.875,32,3,9,10,10,71.875,62.5,31.25
"animalTrack",1,3,3,0,5,42.8571428571429,85.7142857142857,7,213,5,6,1,58.3333333333333,8.33333333333333,12,2,7,3,0,41.6666666666667,25,0
"anipaths",0,2,2,0,1,50,100,4,220,3,2,0,40,0,5,1,4,0,0,20,0,0
"argosfilter",1,8,9,3,16,57.1428571428571,95.2380952380952,21,188,10,13,14,72.972972972973,37.8378378378378,37,4,13,11,9,64.8648648648649,54.0540540540541,24.3243243243243
"argosTrack",1,5,1,1,6,25,87.5,8,211,9,4,1,35.7142857142857,7.14285714285714,14,4,3,7,0,78.5714285714286,50,0
"BayesianAnimalTracker",1,2,0,1,0,25,75,4,221,2,2,0,50,0,4,0,2,2,0,50,50,0
"BBMM",3,10,12,1,15,50,88.4615384615385,26,184,20,18,3,51.219512195122,7.31707317073171,41,1,16,18,6,60.9756097560976,58.5365853658537,14.6341463414634
"bcpa",1,4,12,3,9,75,95,20,196,14,12,3,51.7241379310345,10.3448275862069,29,0,15,12,2,48.2758620689655,48.2758620689655,6.89655172413793
"bsam",0,5,13,3,5,76.1904761904762,100,21,199,9,9,8,65.3846153846154,30.7692307692308,26,0,5,12,9,80.7692307692308,80.7692307692308,34.6153846153846
"caribou",0,0,0,0,1,NA,NA,0,224,1,0,0,0,0,1,1,0,0,0,100,0,0
"crawl",4,15,12,3,26,44.1176470588235,88.2352941176471,34,165,29,19,12,51.6666666666667,20,60,6,25,16,13,58.3333333333333,48.3333333333333,21.6666666666667
"ctmcmove",0,6,2,0,7,25,100,8,210,7,7,1,53.3333333333333,6.66666666666667,15,2,8,4,1,46.6666666666667,33.3333333333333,6.66666666666667
"ctmm",1,7,20,12,16,80,97.5,40,169,15,25,16,73.2142857142857,28.5714285714286,56,1,20,23,12,64.2857142857143,62.5,21.4285714285714
"diveMove",0,4,10,4,3,77.7777777777778,100,18,204,9,8,4,57.1428571428571,19.047619047619,21,1,10,5,5,52.3809523809524,47.6190476190476,23.8095238095238
"drtracker",1,0,0,0,0,0,0,1,224,1,0,0,0,0,1,1,0,0,0,100,0,0
"EMbC",1,3,11,7,3,81.8181818181818,95.4545454545455,22,200,5,7,13,80,52,25,1,6,6,12,76,72,48
"feedr",0,0,0,0,0,NA,NA,0,225,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA
"FLightR",0,5,9,3,8,70.5882352941177,100,17,200,12,9,4,52,16,25,4,9,9,3,64,48,12
"GeoLight",0,6,16,4,5,76.9230769230769,100,26,194,9,9,13,70.9677419354839,41.9354838709677,31,1,8,13,9,74.1935483870968,70.9677419354839,29.0322580645161
"GGIR",0,0,0,0,0,NA,NA,0,225,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA
"hab",3,3,5,1,2,50,75,12,211,4,5,5,71.4285714285714,35.7142857142857,14,1,5,5,3,64.2857142857143,57.1428571428571,21.4285714285714
"HMMoce",0,0,1,1,2,100,100,2,221,2,2,0,50,0,4,1,2,1,0,50,25,0
